ID	REP	ROW	COL	PLOT	TREE	FEMALE	X	Y	YA
102	2	2	4	6	1	2	7	6	9.926885
103	2	1	4	10	2	3	7	7	9.56915
104	2	1	4	10	1	3	7	8	9.468208
105	1	4	4	57	2	15	7	9	10.434051
106	1	4	4	57	1	15	7	10	8.860704
107	1	3	4	49	2	13	7	11	9.382523
108	1	3	4	49	1	13	7	12	9.212392
109	1	2	4	17	2	5	7	13	11.11139
110	1	2	4	17	1	5	7	14	10.167317
111	1	1	4	13	2	4	7	15	9.014179
112	1	1	4	13	1	4	7	16	10.332474
113	2	4	4	2	4	1	8	1	8.962478
114	2	4	4	2	3	1	8	2	9.091917
115	2	3	4	38	4	10	8	3	10.412102
116	2	3	4	38	3	10	8	4	10.955486
117	2	2	4	6	4	2	8	5	9.861749
118	2	2	4	6	3	2	8	6	9.875505
119	2	1	4	10	4	3	8	7	9.331495
120	2	1	4	10	3	3	8	8	9.889827
121	1	4	4	57	4	15	8	9	9.879418
122	1	4	4	57	3	15	8	10	9.517501
123	1	3	4	49	4	13	8	11	10.419062
124	1	3	4	49	3	13	8	12	9.190754
125	1	2	4	17	4	5	8	13	10.4993
126	1	2	4	17	3	5	8	14	11.259905
127	1	1	4	13	4	4	8	15	10.039157
128	1	1	4	13	3	4	8	16	11.004918
129	4	4	1	36	2	9	9	1	10.633529
130	4	4	1	36	1	9	9	2	9.582154
131	4	3	1	12	2	3	9	3	8.734384
132	4	3	1	12	1	3	9	4	9.76195
133	4	2	1	28	2	7	9	5	9.692085
134	4	2	1	28	1	7	9	6	8.668332
135	4	1	1	60	2	15	9	7	9.041004
136	4	1	1	60	1	15	9	8	9.547458
137	3	4	1	39	2	10	9	9	10.143782
138	3	4	1	39	1	10	9	10	10.684579
139	3	3	1	15	2	4	9	11	8.041727
140	3	3	1	15	1	4	9	12	8.249841
141	3	2	1	55	2	14	9	13	10.249982
142	3	2	1	55	1	14	9	14	10.156726
143	3	1	1	23	2	6	9	15	10.878982
144	3	1	1	23	1	6	9	16	10.297066
145	4	4	1	36	4	9	10	1	9.856127
146	4	4	1	36	3	9	10	2	9.999287
147	4	3	1	12	4	3	10	3	10.33889
148	4	3	1	12	3	3	10	4	9.606686
149	4	2	1	28	4	7	10	5	8.759858
150	4	2	1	28	3	7	10	6	10.92152
151	4	1	1	60	4	15	10	7	9.050145
152	4	1	1	60	3	15	10	8	9.363998
153	3	4	1	39	4	10	10	9	9.303189
154	3	4	1	39	3	10	10	10	10.109196
155	3	3	1	15	4	4	10	11	9.62643
156	3	3	1	15	3	4	10	12	8.891653
157	3	2	1	55	4	14	10	13	10.041357
158	3	2	1	55	3	14	10	14	10.246855
159	3	1	1	23	4	6	10	15	10.728642
160	3	1	1	23	3	6	10	16	11.912587
161	4	4	2	20	2	5	11	1	12.006079
162	4	4	2	20	1	5	11	2	10.914502
163	4	3	2	64	2	16	11	3	9.187954
164	4	3	2	64	1	16	11	4	10.67689
165	4	2	2	4	2	1	11	5	9.883661
166	4	2	2	4	1	1	11	6	10.519932
167	4	1	2	32	2	8	11	7	9.759038
168	4	1	2	32	1	8	11	8	10.574339
169	3	4	2	43	2	11	11	9	9.361324
170	3	4	2	43	1	11	11	10	8.598323
171	3	3	2	47	2	12	11	11	10.035435
172	3	3	2	47	1	12	11	12	9.282715
173	3	2	2	51	2	13	11	13	11.029017
174	3	2	2	51	1	13	11	14	11.245745
175	3	1	2	7	2	2	11	15	11.275587
176	3	1	2	7	1	2	11	16	11.95192
177	4	4	2	20	4	5	12	1	10.609466
178	4	4	2	20	3	5	12	2	10.134669
179	4	3	2	64	4	16	12	3	9.72136
180	4	3	2	64	3	16	12	4	9.278139
181	4	2	2	4	4	1	12	5	8.641557
182	4	2	2	4	3	1	12	6	9.775293
183	4	1	2	32	4	8	12	7	11.165159
184	4	1	2	32	3	8	12	8	10.164156
185	3	4	2	43	4	11	12	9	10.426836
186	3	4	2	43	3	11	12	10	9.768244
187	3	3	2	47	4	12	12	11	9.607801
188	3	3	2	47	3	12	12	12	8.783087
189	3	2	2	51	4	13	12	13	11.828571
190	3	2	2	51	3	13	12	14	10.607922
191	3	1	2	7	4	2	12	15	11.559122
192	3	1	2	7	3	2	12	16	11.366182
193	4	4	3	8	2	2	13	1	10.063203
194	4	4	3	8	1	2	13	2	11.009304
195	4	3	3	56	2	14	13	3	9.940028
196	4	3	3	56	1	14	13	4	9.836019
197	4	2	3	44	2	11	13	5	8.728169
198	4	2	3	44	1	11	13	6	10.891188
199	4	1	3	16	2	4	13	7	10.408353
200	4	1	3	16	1	4	13	8	11.764786
201	3	4	3	63	2	16	13	9	10.091091
202	3	4	3	63	1	16	13	10	9.91753
203	3	3	3	11	2	3	13	11	9.227667
204	3	3	3	11	1	3	13	12	10.33574
205	3	2	3	59	2	15	13	13	10.32113
206	3	2	3	59	1	15	13	14	11.185717
207	3	1	3	31	2	8	13	15	11.041117
208	3	1	3	31	1	8	13	16	11.620385
209	4	4	3	8	4	2	14	1	11.722186
210	4	4	3	8	3	2	14	2	9.019002
211	4	3	3	56	4	14	14	3	9.354793
212	4	3	3	56	3	14	14	4	8.766493
213	4	2	3	44	4	11	14	5	8.862507
214	4	2	3	44	3	11	14	6	10.023009
215	4	1	3	16	4	4	14	7	9.329479
216	4	1	3	16	3	4	14	8	11.425705
217	3	4	3	63	4	16	14	9	11.390129
218	3	4	3	63	3	16	14	10	10.61373
219	3	3	3	11	4	3	14	11	9.789946
220	3	3	3	11	3	3	14	12	9.994186
221	3	2	3	59	4	15	14	13	9.853207
222	3	2	3	59	3	15	14	14	10.060657
223	3	1	3	31	4	8	14	15	11.920458
224	3	1	3	31	3	8	14	16	11.696133
225	4	4	4	52	2	13	15	1	10.354988
226	4	4	4	52	1	13	15	2	9.811425
227	4	3	4	24	2	6	15	3	9.480197
228	4	3	4	24	1	6	15	4	10.621611
229	4	2	4	48	2	12	15	5	9.610756
230	4	2	4	48	1	12	15	6	9.860979
231	4	1	4	40	2	10	15	7	10.638375
232	4	1	4	40	1	10	15	8	11.591254
233	3	4	4	35	2	9	15	9	10.036305
234	3	4	4	35	1	9	15	10	9.431673
235	3	3	4	19	2	5	15	11	9.944301
236	3	3	4	19	1	5	15	12	10.63602
237	3	2	4	3	2	1	15	13	10.202418
238	3	2	4	3	1	1	15	14	11.488337
239	3	1	4	27	2	7	15	15	11.569614
240	3	1	4	27	1	7	15	16	11.647069
241	4	4	4	52	4	13	16	1	9.866679
242	4	4	4	52	3	13	16	2	9.918114
243	4	3	4	24	4	6	16	3	9.193467
244	4	3	4	24	3	6	16	4	11.019156
245	4	2	4	48	4	12	16	5	8.608866
246	4	2	4	48	3	12	16	6	10.167071
247	4	1	4	40	4	10	16	7	10.757353
248	4	1	4	40	3	10	16	8	10.51029
249	3	4	4	35	4	9	16	9	10.615567
250	3	4	4	35	3	9	16	10	10.508053
251	3	3	4	19	4	5	16	11	10.797376
252	3	3	4	19	3	5	16	12	11.331565
253	3	2	4	3	4	1	16	13	11.541865
254	3	2	4	3	3	1	16	14	10.440261
255	3	1	4	27	4	7	16	15	12.462323
256	3	1	4	27	3	7	16	16	11.182156
